Date,GS
20240412,382.9729919433594
20240415,394.17242431640625
20240416,390.2196350097656
20240417,397.1517028808594
20240418,396.3650817871094
20240419,397.240234375
20240422,410.3668212890625
20240423,416.905517578125
20240424,415.9616394042969
20240425,413.0216369628906
20240426,420.41583251953125
20240429,423.6015930175781
20240430,419.5701904296875
20240501,419.8061828613281
20240502,425.3321533203125
20240503,430.8482666015625
20240506,436.2464599609375
20240507,436.374267578125
20240508,439.4715576171875
20240509,447.9375
20240510,447.1213684082031
20240513,445.970947265625
20240514,450.79876708984375
20240515,458.2912902832031
20240516,456.7475891113281
20240517,459.89404296875
20240520,455.1940002441406
20240521,462.53900146484375
20240522,454.64337158203125
20240523,450.484130859375
20240524,453.46343994140625
20240528,452.1163635253906
20240529,449.52056884765625
20240530,445.375732421875
20240531,451.597900390625
20240603,450.07452392578125
20240604,450.3910217285156
20240605,456.7022399902344
20240606,453.1608581542969
20240607,450.0052490234375
20240610,448.6598815917969
20240611,439.47998046875
20240612,443.8622131347656
20240613,441.5375671386719
20240614,441.6463623046875
20240617,445.3262634277344
20240618,452.498046875
20240620,453.11138916015625
20240621,445.3262634277344
20240624,457.1078186035156
20240625,452.4486083984375
20240626,450.94500732421875
20240627,441.1517333984375
20240628,447.44317626953125
20240701,458.6609191894531
20240702,460.5898742675781
20240703,462.875
20240705,459.7391662597656
20240708,459.80841064453125
20240709,467.7320251464844
20240710,473.7267150878906
20240711,474.06304931640625
20240712,474.7060241699219
20240715,486.9228820800781
20240716,497.5965270996094
20240717,496.76556396484375
20240718,480.9677734375
20240719,479.7015686035156
20240722,481.7888488769531
20240723,486.8437194824219
20240724,481.4525146484375
20240725,486.4084777832031
20240726,493.6495666503906
20240729,487.4075927734375
20240730,500.2179870605469
20240731,503.5417175292969
20240801,494.727783203125
20240802,465.565673828125
20240805,454.0709228515625
20240806,465.15020751953125
20240807,467.9101257324219
20240808,480.53253173828125
20240809,484.97412109375
20240812,480.26544189453125
20240813,486.6360168457031
20240814,493.3231201171875
20240815,493.6396484375
20240816,498.82318115234375
20240819,499.2386474609375
20240820,491.977783203125
20240821,491.1072692871094
20240822,492.38336181640625
20240823,503.92755126953125
20240826,502.3942565917969
20240827,501.79083251953125
20240828,497.9031982421875
20240829,504.6002197265625
20240830,507.73468017578125
20240903,485.0570068359375
20240904,488.2213439941406
20240905,485.4749450683594
20240906,477.2456970214844
20240909,486.16156005859375
20240910,464.8272399902344
20240911,468.8473205566406
20240912,471.72308349609375
20240913,476.6287536621094
20240916,482.76837158203125
20240917,482.9972229003906
20240918,482.1911926269531
20240919,501.3463134765625
20240920,495.9729309082031
20240923,494.9579772949219
20240924,495.56494140625
20240925,488.7189025878906
20240926,494.47039794921875
20240927,496.05255126953125
20240930,492.6692810058594
20241001,487.753662109375
20241002,489.5646667480469
20241003,483.7037353515625
20241004,492.71905517578125
20241007,492.18170166015625
20241008,494.1221008300781
20241009,502.6896667480469
20241010,501.2368469238281
20241011,513.7548217773438
20241014,520.1730346679688
20241015,519.8048706054688
20241016,527.2479858398438
20241017,526.3922119140625
20241018,525.8947143554688
20241021,515.2474365234375
20241022,515.7449951171875
20241023,514.6504516601562
20241024,521.9144287109375
20241025,510.07305908203125
20241028,520.9989624023438
20241029,521.695556640625
20241030,521.81494140625
20241031,515.2374877929688
20241101,516.789794921875
20241104,508.94866943359375
20241105,524.3623046875
20241106,593.0420532226562
20241107,579.3001098632812
20241108,586.3551635742188
20241111,599.3707275390625
20241112,589.6688232421875
20241113,591.2907104492188
20241114,585.7083740234375
20241115,590.6140747070312
20241118,585.0914306640625
20241119,578.5140380859375
20241120,579.061279296875
20241121,593.17138671875
20241122,599.80859375
20241125,600.0573120117188
20241126,602.51513671875
20241127,602.4454345703125
20241129,605.5700073242188
20241202,601.7100219726562
20241203,602.0800170898438
20241204,598.7100219726562
20241205,596.7999877929688
20241206,599.6799926757812
