Date,MRNA
20240708,116.44999694824219
20240709,116.06999969482422
20240710,117.44000244140625
20240711,122.81999969482422
20240712,121.45999908447266
20240715,121.4800033569336
20240716,125.13999938964844
20240717,124.05500030517578
20240718,121.31999969482422
20240719,121.13999938964844
20240722,122.5
20240723,121.25
20240724,118.19000244140625
20240725,120.4000015258789
20240726,122.11000061035156
20240729,122.16999816894531
20240730,118.83999633789062
20240731,119.22000122070312
20240801,94.16999816894531
20240802,86.58000183105469
20240805,83.75
20240806,82.30000305175781
20240807,81.55000305175781
20240808,84.31999969482422
20240809,84.93000030517578
20240812,81.29000091552734
20240813,82.9000015258789
20240814,82.25
20240815,86.62000274658203
20240816,86.83999633789062
20240819,89.95999908447266
20240820,86.94000244140625
20240821,86.6500015258789
20240822,81.04000091552734
20240823,82.44000244140625
20240826,81.66000366210938
20240827,78.9800033569336
20240828,78.36000061035156
20240829,77.58999633789062
20240830,77.4000015258789
20240903,72.94000244140625
20240904,72.48999786376953
20240905,73.44000244140625
20240906,72.88999938964844
20240909,76.61000061035156
20240910,79.27999877929688
20240911,79.51000213623047
20240912,69.68000030517578
20240913,68.27999877929688
20240916,69.16999816894531
20240917,71.98999786376953
20240918,69.86000061035156
20240919,68.0199966430664
20240920,65.69000244140625
20240923,64.13999938964844
20240924,63.939998626708984
20240925,63.63999938964844
20240926,63.93000030517578
20240927,65.75
20240930,66.83000183105469
20241001,63.93000030517578
20241002,63.15999984741211
20241003,61.06999969482422
20241004,60.20000076293945
20241007,58.720001220703125
20241008,58.38999938964844
20241009,58.86000061035156
20241010,56.83000183105469
20241011,58.290000915527344
20241014,57.72999954223633
20241015,57.310001373291016
20241016,57.459999084472656
20241017,54.81999969482422
20241018,54.099998474121094
20241021,53.79999923706055
20241022,53.400001525878906
20241023,53.38999938964844
20241024,52.79999923706055
20241025,53.09000015258789
20241028,54.79999923706055
20241029,55.220001220703125
20241030,54.720001220703125
20241031,54.36000061035156
20241101,54.630001068115234
20241104,53.540000915527344
20241105,53.290000915527344
20241106,51.810001373291016
20241107,50.279998779296875
20241108,46.83000183105469
20241111,42.75
20241112,43.470001220703125
20241113,42.13999938964844
20241114,39.77000045776367
20241115,36.849998474121094
20241118,39.5099983215332
20241119,37.290000915527344
20241120,36.939998626708984
20241121,38.25
20241122,41.11000061035156
20241125,43.65999984741211
20241126,42.04999923706055
20241127,43.38999938964844
20241129,43.060001373291016
20241202,44.2599983215332
20241203,42.58000183105469
20241204,41.630001068115234
20241205,42.939998626708984
20241206,44.439998626708984
