Date,TSLA
20240417,155.4499969482422
20240418,149.92999267578125
20240419,147.0500030517578
20240422,142.0500030517578
20240423,144.67999267578125
20240424,162.1300048828125
20240425,170.17999267578125
20240426,168.2899932861328
20240429,194.0500030517578
20240430,183.27999877929688
20240501,179.99000549316406
20240502,180.00999450683594
20240503,181.19000244140625
20240506,184.75999450683594
20240507,177.80999755859375
20240508,174.72000122070312
20240509,171.97000122070312
20240510,168.47000122070312
20240513,171.88999938964844
20240514,177.5500030517578
20240515,173.99000549316406
20240516,174.83999633789062
20240517,177.4600067138672
20240520,174.9499969482422
20240521,186.60000610351562
20240522,180.11000061035156
20240523,173.74000549316406
20240524,179.24000549316406
20240528,176.75
20240529,176.19000244140625
20240530,178.7899932861328
20240531,178.0800018310547
20240603,176.2899932861328
20240604,174.77000427246094
20240605,175.0
20240606,177.94000244140625
20240607,177.47999572753906
20240610,173.7899932861328
20240611,170.66000366210938
20240612,177.2899932861328
20240613,182.47000122070312
20240614,178.00999450683594
20240617,187.44000244140625
20240618,184.86000061035156
20240620,181.57000732421875
20240621,183.00999450683594
20240624,182.5800018310547
20240625,187.35000610351562
20240626,196.3699951171875
20240627,197.4199981689453
20240628,197.8800048828125
20240701,209.86000061035156
20240702,231.25999450683594
20240703,246.38999938964844
20240705,251.52000427246094
20240708,252.94000244140625
20240709,262.3299865722656
20240710,263.260009765625
20240711,241.02999877929688
20240712,248.22999572753906
20240715,252.63999938964844
20240716,256.55999755859375
20240717,248.5
20240718,249.22999572753906
20240719,239.1999969482422
20240722,251.50999450683594
20240723,246.3800048828125
20240724,215.99000549316406
20240725,220.25
20240726,219.8000030517578
20240729,232.10000610351562
20240730,222.6199951171875
20240731,232.07000732421875
20240801,216.86000061035156
20240802,207.6699981689453
20240805,198.8800048828125
20240806,200.63999938964844
20240807,191.75999450683594
20240808,198.83999633789062
20240809,200.0
20240812,197.49000549316406
20240813,207.8300018310547
20240814,201.3800048828125
20240815,214.13999938964844
20240816,216.1199951171875
20240819,222.72000122070312
20240820,221.10000610351562
20240821,223.27000427246094
20240822,210.66000366210938
20240823,220.32000732421875
20240826,213.2100067138672
20240827,209.2100067138672
20240828,205.75
20240829,206.27999877929688
20240830,214.11000061035156
20240903,210.60000610351562
20240904,219.41000366210938
20240905,230.1699981689453
20240906,210.72999572753906
20240909,216.27000427246094
20240910,226.1699981689453
20240911,228.1300048828125
20240912,229.80999755859375
20240913,230.2899932861328
20240916,226.77999877929688
20240917,227.8699951171875
20240918,227.1999969482422
20240919,243.9199981689453
20240920,238.25
20240923,250.0
20240924,254.27000427246094
20240925,257.0199890136719
20240926,254.22000122070312
20240927,260.4599914550781
20240930,261.6300048828125
20241001,258.0199890136719
20241002,249.02000427246094
20241003,240.66000366210938
20241004,250.0800018310547
20241007,240.8300018310547
20241008,244.5
20241009,241.0500030517578
20241010,238.77000427246094
20241011,217.8000030517578
20241014,219.16000366210938
20241015,219.57000732421875
20241016,221.3300018310547
20241017,220.88999938964844
20241018,220.6999969482422
20241021,218.85000610351562
20241022,217.97000122070312
20241023,213.64999389648438
20241024,260.4800109863281
20241025,269.19000244140625
20241028,262.510009765625
20241029,259.5199890136719
20241030,257.54998779296875
20241031,249.85000610351562
20241101,248.97999572753906
20241104,242.83999633789062
20241105,251.44000244140625
20241106,288.5299987792969
20241107,296.9100036621094
20241108,321.2200012207031
20241111,350.0
20241112,328.489990234375
20241113,330.239990234375
20241114,311.17999267578125
20241115,320.7200012207031
20241118,338.739990234375
20241119,346.0
20241120,342.0299987792969
20241121,339.6400146484375
20241122,352.55999755859375
20241125,338.5899963378906
20241126,338.2300109863281
20241127,332.8900146484375
20241129,345.1600036621094
20241202,357.0899963378906
20241203,351.4200134277344
20241204,357.92999267578125
20241205,369.489990234375
20241206,389.2200012207031
